Region	State	NPA	NXX	X	STATUS	Code Holder	Contaminated (Y or N)	Contaminated TNs not Available for Assignment	Rate Center	Block Effective Date	Block Available Date	Assigned To	OCN	Date Assigned
MA	DC	202	200	0	AS		N	0	WSHNGTNZN1	03/20/2011		SPRINT SPECTRUM L.P.	6664	01/25/2011
MA	DC	202	200	1	AS		N	0	WSHNGTNZN1	03/20/2011		SPRINT SPECTRUM L.P.	6664	01/25/2011
NE	NY	212	523	8	RT				NWYRCYZN01			VERIZON NEW YORK, INC.	9104	
NE	NY	212	523	9	RT				NWYRCYZN01			VERIZON NEW YORK, INC.	9104	
NE	NY	212	540	0	AV	7353-RCN TELECOM SERVICES, INC. - NY	Y		XXXXX		11/04/2004			
NE	NY	212	540	1	RT				XXXXX			RCN TELECOM SERVICES, INC. - NY	7353	
NE	NY	212	540	2	RT				XXXXX			RCN TELECOM SERVICES, INC. - NY	7353	
NE	NY	212	540	3	RT				XXXXX			RCN TELECOM SERVICES, INC. - NY	7353	
NE	NY	212	540	4	RT				XXXXX			RCN TELECOM SERVICES, INC. - NY	7353	
NE	NY	212	540	5	AV	7353-RCN TELECOM SERVICES, INC. - NY	Y	84	XXXXX		05/04/2015			
NE	NY	212	540	6	AV	7353-RCN TELECOM SERVICES, INC. - NY	N	0	XXXXX		04/30/2010			
NE	NY	212	540	7	RT				XXXXX			RCN TELECOM SERVICES, INC. - NY	7353	
NE	NY	212	540	8	AV	7353-RCN TELECOM SERVICES, INC. - NY	Y		XXXXX		11/04/2004			
NE	NY	212	540	9	RT				XXXXX			RCN TELECOM SERVICES, INC. - NY	7353	
NE	NY	212	542	0	AS		N	0	NWYRCYZN01	06/18/2006		OMNIPOINT COMMUNICATIONS, INC. - NY	6622	05/10/2006
SE	GA	706	521	1	AS		N	0	ATHENS	09/18/2014		CELLCO PARTNERSHIP DBA VERIZON WIRELESS - GA	6540	08/19/2014
SE	GA	706	521	2	AS		N	0	ATHENS	10/16/2014		CELLCO PARTNERSHIP DBA VERIZON WIRELESS - GA	6540	09/03/2014
SE	GA	706	521	3	AS		N	0	ATHENS	11/20/2014		BANDWIDTH.COM CLEC, LLC - GA	983E	10/22/2014
SW	OK	405	655	6	AS		N	0	OKLA CITY	12/30/2011		CELLCO PARTNERSHIP DBA VERIZON WIRELESS - OK	5813	11/10/2011
SW	OK	405	655	7	AS		N	0	OKLA CITY	12/30/2011		CELLCO PARTNERSHIP DBA VERIZON WIRELESS - OK	5813	11/10/2011
WC	CA	858	531	0	RT				LA JOLLA			AT&T LOCAL	7421	
